1	2024-10-01 08:30:00
1	2024-10-01 17:00:00
2	2024-10-01 09:00:00
2	2024-10-01 18:30:00
3	2024-10-01 08:45:00
3	2024-10-01 17:15:00
4	2024-10-01 08:20:00
4	2024-10-01 17:30:00
5	2024-10-01 09:15:00
5	2024-10-01 18:00:00
6	2024-10-01 08:40:00
6	2024-10-01 17:20:00
7	2024-10-01 08:35:00
7	2024-10-01 17:10:00
8	2024-10-01 09:05:00
8	2024-10-01 18:15:00
9	2024-10-01 08:50:00
9	2024-10-01 17:25:00
10	2024-10-01 08:25:00
10	2024-10-01 17:05:00
11	2024-10-01 09:10:00
11	2024-10-01 18:20:00
1	2024-10-02 08:25:00
1	2024-10-02 17:10:00
2	2024-10-02 09:05:00
2	2024-10-02 18:25:00
3	2024-10-02 08:50:00
3	2024-10-02 17:20:00
4	2024-10-02 08:15:00
4	2024-10-02 17:25:00
5	2024-10-02 09:20:00
5	2024-10-02 18:10:00
6	2024-10-02 08:45:00
6	2024-10-02 17:15:00
7	2024-10-02 08:30:00
7	2024-10-02 17:05:00
8	2024-10-02 09:00:00
8	2024-10-02 18:20:00
9	2024-10-02 08:55:00
9	2024-10-02 17:30:00
10	2024-10-02 08:20:00
10	2024-10-02 17:00:00
11	2024-10-02 09:15:00
11	2024-10-02 18:25:00
1	2024-10-03 08:35:00
1	2024-10-03 17:05:00
2	2024-10-03 09:10:00
2	2024-10-03 18:35:00
3	2024-10-03 08:40:00
3	2024-10-03 17:10:00
4	2024-10-03 08:25:00
4	2024-10-03 17:35:00
5	2024-10-03 09:25:00
5	2024-10-03 18:05:00
6	2024-10-03 08:35:00
6	2024-10-03 17:25:00
7	2024-10-03 08:40:00
7	2024-10-03 17:15:00
8	2024-10-03 09:10:00
8	2024-10-03 18:25:00
9	2024-10-03 08:45:00
9	2024-10-03 17:20:00
10	2024-10-03 08:30:00
10	2024-10-03 17:10:00
11	2024-10-03 09:05:00
11	2024-10-03 18:30:00
