1	2024-10-01 08:15:00
1	2024-10-01 17:30:00
2	2024-10-01 08:45:00
2	2024-10-01 17:00:00
3	2024-10-01 09:00:00
3	2024-10-01 18:15:00
1	2024-10-02 08:20:00
1	2024-10-02 17:25:00
2	2024-10-02 08:30:00
2	2024-10-02 17:10:00
3	2024-10-02 08:50:00
3	2024-10-02 17:45:00
4	2024-10-02 09:10:00
4	2024-10-02 18:00:00
1	2024-10-03 08:10:00
1	2024-10-03 17:40:00
2	2024-10-03 08:25:00
2	2024-10-03 16:55:00
3	2024-10-03 09:05:00
3	2024-10-03 18:20:00
4	2024-10-03 08:55:00
4	2024-10-03 17:30:00
5	2024-10-03 08:40:00
5	2024-10-03 17:15:00
1	2024-10-06 08:30:00
1	2024-10-06 17:20:00
2	2024-10-06 08:50:00
2	2024-10-06 17:05:00
3	2024-10-06 09:15:00
3	2024-10-06 18:00:00
4	2024-10-06 08:45:00
4	2024-10-06 17:25:00
5	2024-10-06 08:35:00
5	2024-10-06 17:10:00
6	2024-10-06 09:00:00
6	2024-10-06 18:30:00
1	2024-10-07 08:25:00
1	2024-10-07 17:35:00
2	2024-10-07 08:40:00
3	2024-10-07 09:10:00
3	2024-10-07 18:10:00
4	2024-10-07 08:50:00
4	2024-10-07 17:40:00
5	2024-10-07 08:30:00
5	2024-10-07 17:20:00
1	2024-10-08 08:15:00
1	2024-10-08 17:45:00
2	2024-10-08 08:35:00
2	2024-10-08 17:15:00
3	2024-10-08 09:00:00
3	2024-10-08 18:25:00
4	2024-10-08 08:55:00
4	2024-10-08 17:50:00
5	2024-10-08 08:45:00
5	2024-10-08 17:30:00
6	2024-10-08 09:05:00
6	2024-10-08 18:15:00

